From Date,To Date,Ozone,CO,SO2,NO2,PM10,PM2.5,State,City,Station,AQI,AQI_Category
22-12-2021 00:00,23-12-2021 00:00,42.05,0.73,38.04,27.52,154.85,103.24,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",244.13333333333333,Poor
23-12-2021 00:00,24-12-2021 00:00,46.38,0.96,16.11,24.01,162.27,120.29,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",300.2230769230769,Very Poor
24-12-2021 00:00,25-12-2021 00:00,39.28,1.0,13.98,19.83,155.32,122.76,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",302.12307692307695,Very Poor
25-12-2021 00:00,26-12-2021 00:00,38.35,0.87,15.31,14.72,117.57,95.17,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",217.23333333333335,Poor
26-12-2021 00:00,27-12-2021 00:00,41.2,0.73,12.16,13.65,101.84,73.89,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",146.3,Moderate
27-12-2021 00:00,28-12-2021 00:00,33.75,0.68,10.84,19.93,116.22,84.38,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",181.26666666666665,Moderate
28-12-2021 00:00,29-12-2021 00:00,34.46,0.71,12.16,16.6,96.33,68.1,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",126.99999999999999,Moderate
29-12-2021 00:00,30-12-2021 00:00,35.86,0.75,8.68,13.14,77.97,50.66,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",84.43333333333334,Satisfactory
30-12-2021 00:00,31-12-2021 00:00,51.4,0.66,13.55,12.7,80.19,53.41,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",89.01666666666667,Satisfactory
31-12-2021 00:00,01-01-2022 00:00,52.22,0.59,14.08,14.11,75.06,49.51,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",82.51666666666667,Satisfactory
01-01-2022 00:00,02-01-2022 00:00,53.18,0.57,13.31,10.86,63.57,44.99,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",74.98333333333333,Satisfactory
